Split	Serial	German Text	English Text	German Gloss	English Gloss	German Gloss Token	English Gloss Token	Class
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august	and now the weather forecast for tomorrow thursday the twelfth of august	JETZT WETTER MORGEN DONNERSTAG ZWOELF FEBRUAR	NOW WEATHER TOMORROW THURSDAY TWELVE FEBRUARY	JETZT	NOW	0
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august				WETTER	WEATHER	0
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august				MORGEN	MORNING	0
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august				DONNERSTAG	THURSDAY	0
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august				ZWOELF	SWEET	0
train	0	und nun die wettervorhersage für morgen donnerstag den zwölften august				FEBRUAR	FEBRUARY	0
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich	in some places it rains longer and abundantly, and local flooding is possible again	ORT REGEN DURCH REGEN KOENNEN UEBERSCHWEMMUNG KOENNEN	LOCATION RAIN THROUGH RAIN CAN KNOW FLOODING	ORT	LOCATION	0
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				REGEN	RAIN	3
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				DURCH	BY	0
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				REGEN	RAIN	3
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				KOENNEN	CAN	0
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				UEBERSCHWEMMUNG	FLOODING	0
train	1	mancherorts regnet es auch länger und ergiebig auch lokale überschwemmungen sind wieder möglich				KOENNEN	CAN	0
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen	even during the day there are widespread showers or thunderstorms, some of them strong, and in some regions heavy rain falls	TAGSUEBER OFT REGEN GEWITTER KOENNEN MANCHMAL REGEN VIEL REGEN	Often times during the day, thunderstorms can sometimes rain a lot	TAGSUEBER	TAGSUEBER	0
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				OFT	OFTEN	0
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				REGEN	RAIN	3
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				GEWITTER	THUNDERSTORM	3
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				KOENNEN	CAN	0
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				MANCHMAL	SOMETIMES	0
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				REGEN	RAIN	3
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				VIEL	MUCH	3
train	3	auch am tag gibt es verbreitet zum teil kräftige schauer oder gewitter und in manchen regionen fallen ergiebige regenmengen				REGEN	RAIN	3
train	4	größere wolkenlücken finden sich vor allem im nordwesten	larger cloud gaps are found mainly in the northwest	WOLKE LOCH SPEZIELL NORDWEST	CLOUD HOLE SPECIALLY NORTHWEST	WOLKE	CLOUD	3
train	4	größere wolkenlücken finden sich vor allem im nordwesten				LOCH	HOLE	0
train	4	größere wolkenlücken finden sich vor allem im nordwesten				SPEZIELL	SPECIAL	0
train	4	größere wolkenlücken finden sich vor allem im nordwesten				NORDWEST	NORTHWEST	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad	in the emsland tonight only nine on the upper rhine to seventeen degrees	FLUSS HEUTE NACHT SECHS FLUSS SIEBZEHN GRAD	RIVER TODAY SIX RIVER SEVENTEEN DEGREES	FLUSS	FLOW	0
train	5	im emsland heute nacht nur neun am oberrhein bis siebzehn grad				HEUTE	TODAY	0
